№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
253,”05,411000,39600,67590,0,10000,540,11295,0,7530,0,0,0,547555,1470182,831863,8872705
254,”03,364200,34600,59820,15300,4200,0,10008,0,10672,0,0,0,498800,1177461,670127,7833188
255,”03,364200,59600,63570,9800,2000,8400,18014,0,11339,0,0,0,536923,1252211,670127,8365414
256,”04,395800,29600,63810,9800,7100,1440,14500,0,8700,0,0,0,530750,1390289,801098,8560387
257,”06,426307,0,76091,15300,2000,240,0,0,0,80967,0,4000,604905,1497917,921794,9678571
258,”05,411000,26800,65670,9800,7100,300,11295,44726,7530,0,0,0,584221,1431910,831863,9274425
259,”04,395800,26800,63390,9800,7050,950,10875,0,7250,0,0,0,521915,1381918,801098,8445996
260,”05,411000,0,61650,9800,15800,450,11295,0,8283,0,0,0,518278,1351778,831863,8402977
261,”07,433104,14000,80628,15300,4200,0,0,0,0,90423,0,0,637655,1539777,921794,10113431
262,”08,471026,14000,89006,15300,4200,0,0,0,0,108350,0,0,701882,1501757,1333034,11257375
263,”05,411000,34600,66840,15300,4200,0,56475,0,0,0,0,0,588415,1455232,831863,9348075
264,”04,395800,14000,61470,9800,11215,0,10875,0,0,0,0,0,503160,1343646,801098,8182664
265,”06,426307,26800,80111,15300,6453,0,0,0,0,80967,0,0,635938,1578049,921794,10131099
266,”04,395800,39600,65310,15300,2000,0,61625,0,0,0,0,0,579635,1420190,801098,9176908
267,”04,395800,11200,61050,0,0,0,0,0,0,0,0,0,468050,0,0,5616600
268,”05,411000,14000,63750,15300,7975,0,0,0,0,0,0,0,512025,1393638,831863,8369801
269,”07,452311,11200,83090,9800,11500,0,0,0,0,90423,0,0,658324,1651611,1026885,10578384
270,”05,411000,39600,67590,9800,13441,0,83583,0,0,0,0,0,625014,1470182,743478,9713828
271,”03,364200,0,54630,15300,8616,0,0,0,0,0,0,0,442746,1088957,670127,7072036
272,”04,395800,34600,64560,9800,2000,0,0,0,0,0,0,0,506760,1405239,801098,8287457
273,”05,411000,0,61650,0,4200,0,71535,0,0,0,0,0,548385,1351778,831863,8764261
274,”05,411000,39600,67590,15300,4200,0,38703,0,0,0,0,0,576393,1455232,831863,9203811
275,”04,395800,26800,63390,15300,7080,4500,180815,31320,0,0,0,0,725005,1381918,801098,10883076
276,”03,364200,0,54630,0,3103,0,0,0,0,0,0,0,421933,0,0,5063196
277,”07,434483,14000,80835,9800,17211,0,0,0,0,90423,0,0,646752,1592790,984243,10338057
278,”04,395800,34600,64560,15300,19044,0,184154,0,0,0,0,0,713458,1405239,801098,10767833
280,”04,395800,26800,63390,15300,2000,0,127606,0,0,0,0,0,630896,1381918,801098,9753768
281,”05,411000,26800,65670,15300,4200,0,136443,0,0,0,0,0,659413,1431910,831863,10176729
282,”06,426307,39600,82031,9800,14443,0,0,0,0,80967,0,0,653148,1616321,950600,10404697
283,”04,370600,0,55590,9800,7100,0,0,0,0,0,0,0,443090,1163497,715998,7196575
284,”06,426307,0,76091,9800,6792,0,0,0,0,80967,0,0,599957,1497917,921794,9619195
285,”04,395800,0,59370,15300,13920,0,7685,0,0,0,0,0,492075,1301785,801098,8007783
286,”05,401200,0,60180,15300,4200,0,30135,0,0,0,0,0,511015,1301785,801098,8235063
287,”03,364200,0,54630,0,2000,0,27488,0,0,0,0,0,448318,1088957,670127,7138900
288,”03,364200,11200,56310,15300,7452,0,0,0,0,0,0,0,454462,1122445,670127,7246116
289,”05,411000,26800,65670,9800,4666,0,7530,0,0,0,0,0,525466,1431910,831863,8569365
290,”06,426307,14000,78191,9800,16770,0,0,0,0,80967,0,0,626035,1539777,950600,10002797
291,”04,370600,11200,57270,9800,12900,0,0,0,0,0,0,0,461770,1196985,715998,7454223
292,”03,364200,0,54630,30100,4200,1050,10008,39633,11339,0,0,0,515160,1088957,670127,7941004
293,”05,411000,0,61650,15300,0,0,42618,28462,0,0,0,0,559030,1351778,831863,8892001
295,”06,426307,0,76091,28000,5170,0,0,0,0,80967,0,0,616535,1520240,935532,9854192
296,”07,434483,34600,83925,9800,3876,0,0,0,0,90423,0,0,657107,1706708,954417,10546409
297,”07,452311,26800,85430,9800,4200,0,0,0,0,90423,0,0,668964,1683304,1026885,10737757
298,”05,411000,25600,65490,9800,22442,0,52710,0,0,0,0,0,587042,1277249,311949,8633702
299,”07,451720,14000,83421,9800,4200,0,0,0,0,90423,0,0,653564,1657915,994496,10495179
300,”04,395800,0,59370,0,3876,0,0,0,0,0,0,0,459046,1301785,801098,7611435
301,”05,411000,26800,65670,0,3876,0,0,0,0,0,0,0,507346,1431910,831863,8351925
303,”06,426307,21800,79361,15300,3103,0,0,0,0,80967,0,0,626838,1623694,935532,10081282
304,”04,395800,0,59370,9800,13183,0,39875,0,0,0,0,0,518028,1301785,801098,8319219
305,”03,364200,0,54630,0,15816,0,0,0,0,0,0,0,434646,1088957,544478,6849187
306,”04,395800,33100,64335,9800,7999,0,0,0,0,0,0,0,511034,1400755,801098,8334261
307,”04,395800,0,59370,0,14446,0,0,0,0,0,0,0,469616,1301785,801098,7738275
308,”06,411631,0,73889,9800,3876,0,0,0,0,80967,0,0,580163,1351778,831863,9145597
309,”06,420500,26800,79425,0,11116,0,0,0,0,82200,0,0,620041,1549136,904002,9893630
311,”04,370600,14000,57690,15300,2000,2100,40323,29328,0,0,0,0,531341,1205356,715998,8297446
312,”04,370600,14000,57690,28000,7100,0,0,0,0,0,0,0,477390,1205356,715998,7650034
313,”03,364200,21800,57900,15300,4200,150,10008,0,10005,0,0,0,483563,1154139,670127,7627022
314,”04,395800,29600,63810,15300,4200,2400,14500,0,10875,0,0,0,536485,1390289,801098,8629207
315,”05,403700,11200,62235,15300,4200,500,18490,11982,7400,0,0,0,535007,1353034,812028,8585146
316,”06,432800,34600,82440,15300,8154,0,0,0,0,82200,0,0,655494,1623694,935532,10425154
317,”03,364200,28100,58845,9800,7100,390,36696,0,6003,0,0,0,511134,1172976,670127,7976711
318,”03,364200,26800,58650,9800,7100,600,10008,14412,6670,0,0,0,498240,1169089,670127,7818096
321,”05,411000,0,61650,15300,0,0,15813,20330,13554,0,0,0,537647,1351778,831863,8635405
322,”04,395800,12800,61290,9800,2000,7600,10875,19575,13775,0,0,0,533515,1340057,801098,8543335
323,”03,364200,14000,56730,0,12031,0,16680,0,0,0,0,0,463641,1130817,670127,7364636
324,”03,364200,25600,58470,9800,7100,150,10008,10809,12673,0,0,0,498810,1165501,670127,7821348
325,”03,364200,0,54630,0,7452,0,0,0,0,0,0,0,426282,410453,0,5525837
326,”05,411000,21800,64920,9800,21517,0,11295,0,0,0,0,0,540332,1416960,831863,8732807
327,”04,389200,12800,60300,30100,13362,0,106950,0,0,0,0,0,612712,1280078,787740,9420362
328,”07,450932,39600,87143,28000,15397,0,0,0,0,90423,0,0,711495,1731702,1023823,11293465
329,”05,411000,0,61650,0,2000,0,54817,0,0,0,0,0,529467,1351778,831863,8537245
330,”04,395800,0,59370,0,4200,0,45240,0,0,0,0,0,504610,1301785,801098,8158203
331,”03,364200,0,54630,30100,6330,0,96744,0,0,0,0,0,552004,1088957,670127,8383132
334,”03,364200,14000,56730,9800,15800,0,16680,18015,8671,0,0,0,503896,1130817,670127,7847696
335,”04,395800,29600,63810,9800,10000,600,10875,0,10875,0,0,0,531360,1390289,801098,8567707
336,”05,411000,34600,66840,15300,0,0,33885,0,0,0,0,0,561625,1455232,831863,9026595
337,”03,353100,0,52965,9800,7100,0,20958,27944,0,0,0,0,471867,1055768,649703,7367875
338,”03,364200,0,54630,0,31541,0,0,0,0,0,0,0,450371,1088957,670127,7163536
339,”03,364200,29000,58980,9800,12900,450,10008,0,8004,0,0,0,493342,1175667,670127,7765898
340,”06,411631,14000,75989,9800,5170,0,0,0,0,80967,0,0,597557,1393638,831863,9396185
341,”04,395800,0,59370,28000,12538,0,7250,0,0,0,0,0,502958,1301785,801098,8138379
